pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent
L__NOUN_VERB_VERB	0	6	sing	assumes	correct	generated	The daughter to generate in housing	0	False	647	5	6	The daughter to generate in housing enjoys that Dwarf European guns and Travels and bound Final transactions are vital to convince soon however nuclear to the Emma in Ahmed than al - Chevron openings , and it would be generous to carry one 's atrocities off the manned console . <eos>
L__NOUN_VERB_VERB	0	6	sing	assume	wrong	generated	The daughter to generate in housing	0	False	1201	5	6	The daughter to generate in housing enjoys that Dwarf European guns and Travels and bound Final transactions are vital to convince soon however nuclear to the Emma in Ahmed than al - Chevron openings , and it would be generous to carry one 's atrocities off the manned console . <eos>
R__VERB_NOUN_CCONJ_VERB	15	7	sing	decides	correct	generated	If you die a source who will represent to you and reflect he will expand and then migrate his determination , and not regret what he is hoping about whenever he depends reasons at eastern temperatures and	0	True	1624	6	37	If you die a source who will represent to you and reflect he will expand and then migrate his determination , and not regret what he is hoping about whenever he depends reasons at eastern temperatures and depends they indicate what you throw , why they will not defend for you , come to this tension ... he is the affair for you . <eos>
R__VERB_NOUN_CCONJ_VERB	15	7	sing	decide	wrong	generated	If you die a source who will represent to you and reflect he will expand and then migrate his determination , and not regret what he is hoping about whenever he depends reasons at eastern temperatures and	0	True	1926	6	37	If you die a source who will represent to you and reflect he will expand and then migrate his determination , and not regret what he is hoping about whenever he depends reasons at eastern temperatures and depends they indicate what you throw , why they will not defend for you , come to this tension ... he is the affair for you . <eos>
L__NOUN_VERB_VERB	24	1	plur	respond	correct	generated	Terms who meet these allegations	0	False	1271	5	5	Terms who meet these allegations respond at the alliance apparently ; and it 's grand to reconsider they are ominous and tropical to tighten no if they deserve there would relate a glass . <eos>
L__NOUN_VERB_VERB	24	1	plur	responds	wrong	generated	Terms who meet these allegations	0	False	375	5	5	Terms who meet these allegations respond at the alliance apparently ; and it 's grand to reconsider they are ominous and tropical to tighten no if they deserve there would relate a glass . <eos>
L__NOUN_VERB_VERB	24	7	plur	come	correct	generated	Ladies who continue these experts	0	False	10674	5	5	Ladies who continue these experts suffer at the ear indoors ; and it 's scary to recruit they are explosive and desperate to greet no if they suppose there would remind a service . <eos>
L__NOUN_VERB_VERB	24	7	plur	comes	wrong	generated	Ladies who continue these experts	0	False	5252	5	5	Ladies who continue these experts suffer at the ear indoors ; and it 's scary to recruit they are explosive and desperate to greet no if they suppose there would remind a service . <eos>
R__VERB_NOUN_CCONJ_VERB	12	6	sing	happens	correct	generated	Turn for a musician of stories in their concert that belongs from the locker and	0	False	1176	5	15	Turn for a musician of stories in their concert that belongs from the locker and crashes successfully to the punishment fo the jury . <eos>
R__VERB_NOUN_CCONJ_VERB	12	6	sing	happen	wrong	generated	Turn for a musician of stories in their concert that belongs from the locker and	0	False	1554	5	15	Turn for a musician of stories in their concert that belongs from the locker and crashes successfully to the punishment fo the jury . <eos>
R__VERB_NOUN_CCONJ_VERB	8	7	sing	creates	correct	generated	It plays the team for situation egg and	0	False	1563	7	8	It plays the team for situation egg and loves , “ We are financed that the Petersen should not evacuate with possible - reviewer historians who seek to deliver and lace halfway and effectively in the provisions , remarks , and daughters of beneficial duration . ” <eos>
R__VERB_NOUN_CCONJ_VERB	8	7	sing	create	wrong	generated	It plays the team for situation egg and	0	False	8745	7	8	It plays the team for situation egg and loves , “ We are financed that the Petersen should not evacuate with possible - reviewer historians who seek to deliver and lace halfway and effectively in the provisions , remarks , and daughters of beneficial duration . ” <eos>
R__VERB_NOUN_CCONJ_VERB	7	6	sing	remains	correct	generated	As you proceed above the bakery , the staff of the beloved streak seems your strife and	0	True	9459	4	17	As you proceed above the bakery , the staff of the beloved streak seems your strife and says you remain stronger and clearer . <eos>
R__VERB_NOUN_CCONJ_VERB	7	6	sing	remain	wrong	generated	As you proceed above the bakery , the staff of the beloved streak seems your strife and	0	True	6999	4	17	As you proceed above the bakery , the staff of the beloved streak seems your strife and says you remain stronger and clearer . <eos>
L__NOUN_VERB_VERB	20	1	sing	enjoys	correct	generated	The eligible jihad I fell extremely from them in the first camera	0	False	556	10	12	The eligible jihad I fell extremely from them in the first camera accuses because my digital cake who agreed with them was causing out on his overwhelming . <eos>
L__NOUN_VERB_VERB	20	1	sing	enjoy	wrong	generated	The eligible jihad I fell extremely from them in the first camera	0	False	1428	10	12	The eligible jihad I fell extremely from them in the first camera accuses because my digital cake who agreed with them was causing out on his overwhelming . <eos>
L__NOUN_VERB_VERB	11	1	plur	observe	correct	generated	The able tough marketers that seldom would describe from calf	2	False	946	7	10	The able tough marketers that seldom would describe from calf eat furnace , compliance , penalty , platform , consistent bakery and bankrupt newspapers of birds and holidays -- democratic as the Grill wasp . <eos>
L__NOUN_VERB_VERB	11	1	plur	observes	wrong	generated	The able tough marketers that seldom would describe from calf	2	False	323	7	10	The able tough marketers that seldom would describe from calf eat furnace , compliance , penalty , platform , consistent bakery and bankrupt newspapers of birds and holidays -- democratic as the Grill wasp . <eos>
L__NOUN_VERB_VERB	23	6	sing	dies	correct	generated	Well , unless overwhelmingly precisely the third territory he seized in the commission	0	True	1245	6	13	Well , unless overwhelmingly precisely the third territory he seized in the commission lets out . <eos>
L__NOUN_VERB_VERB	23	6	sing	die	wrong	generated	Well , unless overwhelmingly precisely the third territory he seized in the commission	0	True	2523	6	13	Well , unless overwhelmingly precisely the third territory he seized in the commission lets out . <eos>
L__NOUN_VERB_VERB	7	3	sing	delivers	correct	generated	Can you enable that the contribution we are checking	0	False	332	4	9	Can you enable that the contribution we are checking looks toward a generic and controversial cage ? <eos>
L__NOUN_VERB_VERB	7	3	sing	deliver	wrong	generated	Can you enable that the contribution we are checking	0	False	1395	4	9	Can you enable that the contribution we are checking looks toward a generic and controversial cage ? <eos>
R__VERB_NOUN_CCONJ_VERB	4	3	plur	beg	correct	generated	Find me retake if you develop any publications or	0	False	108	4	9	Find me retake if you develop any publications or decide anything optimistic . <eos>
R__VERB_NOUN_CCONJ_VERB	4	3	plur	begs	wrong	generated	Find me retake if you develop any publications or	0	False	209	4	9	Find me retake if you develop any publications or decide anything optimistic . <eos>
L__NOUN_VERB_VERB	14	8	sing	tends	correct	generated	A Nixon width estimated in Sunday billion	0	False	1298	5	7	"A Nixon width estimated in Sunday billion leaves , "" Due to its discretion astride the Philip Larry , Oglethorpe has slowly been a resolution to the CPI . <eos>"
L__NOUN_VERB_VERB	14	8	sing	tend	wrong	generated	A Nixon width estimated in Sunday billion	0	False	3201	5	7	"A Nixon width estimated in Sunday billion leaves , "" Due to its discretion astride the Philip Larry , Oglethorpe has slowly been a resolution to the CPI . <eos>"
R__VERB_NOUN_CCONJ_VERB	10	1	plur	seek	correct	generated	You operate the campaign and	0	False	2705	4	5	You operate the campaign and come counsel grandson into the facility . <eos>
R__VERB_NOUN_CCONJ_VERB	10	1	plur	seeks	wrong	generated	You operate the campaign and	0	False	1030	4	5	You operate the campaign and come counsel grandson into the facility . <eos>
R__VERB_NOUN_CCONJ_VERB	8	3	sing	sees	correct	generated	It seems the tourist for quo identity and	0	False	2251	7	8	It seems the tourist for quo identity and thinks , “ We are projected that the Terry should not oppose with legislative - payout sanctions who remember to remain and communicate shortly and automatically in the tensions , temples , and messages of necessary cousin . ” <eos>
R__VERB_NOUN_CCONJ_VERB	8	3	sing	see	wrong	generated	It seems the tourist for quo identity and	0	False	15996	7	8	It seems the tourist for quo identity and thinks , “ We are projected that the Terry should not oppose with legislative - payout sanctions who remember to remain and communicate shortly and automatically in the tensions , temples , and messages of necessary cousin . ” <eos>
R__VERB_NOUN_CCONJ_VERB	1	6	plur	begin	correct	generated	I continue we pursuant meet the cave and	0	False	4597	4	8	I continue we pursuant meet the cave and receive to Lucy . <eos>
R__VERB_NOUN_CCONJ_VERB	1	6	plur	begins	wrong	generated	I continue we pursuant meet the cave and	0	False	4461	4	8	I continue we pursuant meet the cave and receive to Lucy . <eos>
R__VERB_NOUN_CCONJ_VERB	4	6	plur	begin	correct	generated	Stay me settle if you remain any rooms or	0	False	4597	4	9	Stay me settle if you remain any rooms or recognize anything impossible . <eos>
R__VERB_NOUN_CCONJ_VERB	4	6	plur	begins	wrong	generated	Stay me settle if you remain any rooms or	0	False	4461	4	9	Stay me settle if you remain any rooms or recognize anything impossible . <eos>
R__VERB_NOUN_CCONJ_VERB	5	5	plur	create	correct	generated	Save me discuss if you tend any conclusions or	0	False	8745	4	9	Save me discuss if you tend any conclusions or suggest anything amusing . <eos>
R__VERB_NOUN_CCONJ_VERB	5	5	plur	creates	wrong	generated	Save me discuss if you tend any conclusions or	0	False	1563	4	9	Save me discuss if you tend any conclusions or suggest anything amusing . <eos>
L__NOUN_VERB_VERB	14	2	sing	decides	correct	generated	A Santa scenario advised in Drew four	0	False	1624	5	7	"A Santa scenario advised in Drew four thinks , "" Due to its server astride the Forum Switzerland , Arabia has possibly been a clothing to the Manager . <eos>"
L__NOUN_VERB_VERB	14	2	sing	decide	wrong	generated	A Santa scenario advised in Drew four	0	False	1926	5	7	"A Santa scenario advised in Drew four thinks , "" Due to its server astride the Forum Switzerland , Arabia has possibly been a clothing to the Manager . <eos>"
L__NOUN_VERB_VERB	3	3	sing	remains	correct	generated	I proceed the towing you threw to me	0	False	9459	5	8	I proceed the towing you threw to me gives to the Don Rice at Ayatollah ( folded in Milan ) . <eos>
L__NOUN_VERB_VERB	3	3	sing	remain	wrong	generated	I proceed the towing you threw to me	0	False	6999	5	8	I proceed the towing you threw to me gives to the Don Rice at Ayatollah ( folded in Milan ) . <eos>
L__NOUN_VERB_VERB	1	2	sing	compares	correct	generated	An external origin authorized in sixteen	0	False	320	4	6	"An external origin authorized in sixteen keeps there assume seven "" kilometres "" in the Ana Arabs , but impeccable countries are possibly lighter than this . <eos>"
L__NOUN_VERB_VERB	1	2	sing	compare	wrong	generated	An external origin authorized in sixteen	0	False	692	4	6	"An external origin authorized in sixteen keeps there assume seven "" kilometres "" in the Ana Arabs , but impeccable countries are possibly lighter than this . <eos>"
L__NOUN_VERB_VERB	3	4	sing	makes	correct	generated	I put the knife you won to me	0	False	7718	5	8	I put the knife you won to me seems to the Barcelona Carter at Aid ( sought in LA ) . <eos>
L__NOUN_VERB_VERB	3	4	sing	make	wrong	generated	I put the knife you won to me	0	False	24608	5	8	I put the knife you won to me seems to the Barcelona Carter at Aid ( sought in LA ) . <eos>
L__NOUN_VERB_VERB	16	6	sing	adds	correct	generated	The smallest studio you can carry in Omar	0	False	932	6	8	The smallest studio you can carry in Omar incorporates to burn to a suggestion . <eos>
L__NOUN_VERB_VERB	16	6	sing	add	wrong	generated	The smallest studio you can carry in Omar	0	False	2283	6	8	The smallest studio you can carry in Omar incorporates to burn to a suggestion . <eos>
L__NOUN_VERB_VERB	16	9	sing	observes	correct	generated	The youngest loan you can seem in Ivan	0	False	323	6	8	The youngest loan you can seem in Ivan adds to develop to a drying . <eos>
L__NOUN_VERB_VERB	16	9	sing	observe	wrong	generated	The youngest loan you can seem in Ivan	0	False	946	6	8	The youngest loan you can seem in Ivan adds to develop to a drying . <eos>
L__NOUN_VERB_VERB	23	8	sing	demonstrates	correct	generated	Well , unless almost halfway the third confidante he signed in the criticism	0	True	529	6	13	Well , unless almost halfway the third confidante he signed in the criticism protects out . <eos>
L__NOUN_VERB_VERB	23	8	sing	demonstrate	wrong	generated	Well , unless almost halfway the third confidante he signed in the criticism	0	True	1226	6	13	Well , unless almost halfway the third confidante he signed in the criticism protects out . <eos>
R__VERB_NOUN_CCONJ_VERB	9	2	plur	hear	correct	generated	I pay this overwhelming sensitivity and	0	False	1692	5	6	I pay this overwhelming sensitivity and suffer to become this tactical injustice . <eos>
R__VERB_NOUN_CCONJ_VERB	9	2	plur	hears	wrong	generated	I pay this overwhelming sensitivity and	0	False	400	5	6	I pay this overwhelming sensitivity and suffer to become this tactical injustice . <eos>
R__VERB_NOUN_CCONJ_VERB	2	2	plur	spend	correct	generated	Decisions indefinitely : Williams five through Edinburgh nine ( expanding you realize on the phase we die and	0	True	2073	7	18	Decisions indefinitely : Williams five through Edinburgh nine ( expanding you realize on the phase we die and sell previously to proportion the gambling after we die ) <eos>
R__VERB_NOUN_CCONJ_VERB	2	2	plur	spends	wrong	generated	Decisions indefinitely : Williams five through Edinburgh nine ( expanding you realize on the phase we die and	0	True	506	7	18	Decisions indefinitely : Williams five through Edinburgh nine ( expanding you realize on the phase we die and sell previously to proportion the gambling after we die ) <eos>
L__NOUN_VERB_VERB	6	2	plur	explain	correct	generated	I want the chores on which I should develop your website	1	False	2136	8	11	I want the chores on which I should develop your website affirm : ( a ) Do you translate a willing mother about the context to tall laptop kids built by Austin Amy ? <eos>
L__NOUN_VERB_VERB	6	2	plur	explains	wrong	generated	I want the chores on which I should develop your website	1	False	1823	8	11	I want the chores on which I should develop your website affirm : ( a ) Do you translate a willing mother about the context to tall laptop kids built by Austin Amy ? <eos>
L__NOUN_VERB_VERB	24	5	plur	realise	correct	generated	Stars who recognize these attempts	0	False	247	5	5	Stars who recognize these attempts sell at the id incorrectly ; and it 's grand to harass they are educated and naive to reassure no if they come there would spell a direction . <eos>
L__NOUN_VERB_VERB	24	5	plur	realises	wrong	generated	Stars who recognize these attempts	0	False	203	5	5	Stars who recognize these attempts sell at the id incorrectly ; and it 's grand to harass they are educated and naive to reassure no if they come there would spell a direction . <eos>
L__NOUN_VERB_VERB	7	7	sing	comes	correct	generated	Can you interfere that the spring we are joking	0	False	5252	4	9	Can you interfere that the spring we are joking blames toward a same and reasonable medicine ? <eos>
L__NOUN_VERB_VERB	7	7	sing	come	wrong	generated	Can you interfere that the spring we are joking	0	False	10674	4	9	Can you interfere that the spring we are joking blames toward a same and reasonable medicine ? <eos>
R__VERB_NOUN_CCONJ_VERB	11	3	sing	refuses	correct	generated	This lunch of photograph feels around the crew s blog and sheep and	0	False	1038	9	13	This lunch of photograph feels around the crew s blog and sheep and wakes a diplomat for the cent again on the cake of the reintroduction in documentation of society politics . <eos>
R__VERB_NOUN_CCONJ_VERB	11	3	sing	refuse	wrong	generated	This lunch of photograph feels around the crew s blog and sheep and	0	False	722	9	13	This lunch of photograph feels around the crew s blog and sheep and wakes a diplomat for the cent again on the cake of the reintroduction in documentation of society politics . <eos>
L__NOUN_VERB_VERB	4	4	sing	understands	correct	generated	My registration with achieving the prosecution pursuant	0	False	228	6	7	My registration with achieving the prosecution pursuant affects , could it be agreed that politely everyone flew the branch would or could impress at any tabs , since we primarily flowed Ham and Computers and if they blended they might have cooked a healthy mouth ?? <eos>
L__NOUN_VERB_VERB	4	4	sing	understand	wrong	generated	My registration with achieving the prosecution pursuant	0	False	2723	6	7	My registration with achieving the prosecution pursuant affects , could it be agreed that politely everyone flew the branch would or could impress at any tabs , since we primarily flowed Ham and Computers and if they blended they might have cooked a healthy mouth ?? <eos>
R__VERB_NOUN_CCONJ_VERB	14	1	sing	grows	correct	generated	The first dinner you pay whenever you allow on pig involves that the compliance field financially sees out the language and	0	False	1046	5	21	The first dinner you pay whenever you allow on pig involves that the compliance field financially sees out the language and lasts into the consensus ton . <eos>
R__VERB_NOUN_CCONJ_VERB	14	1	sing	grow	wrong	generated	The first dinner you pay whenever you allow on pig involves that the compliance field financially sees out the language and	0	False	3244	5	21	The first dinner you pay whenever you allow on pig involves that the compliance field financially sees out the language and lasts into the consensus ton . <eos>
L__NOUN_VERB_VERB	11	6	plur	include	correct	generated	The arrogant difficult weekends that successfully would maintain from star	2	False	24625	7	10	The arrogant difficult weekends that successfully would maintain from star add soul , season , plot , path , narrow corner and nuclear minds of scientists and surgeons -- faithful as the Starbucks crate . <eos>
L__NOUN_VERB_VERB	11	6	plur	includes	wrong	generated	The arrogant difficult weekends that successfully would maintain from star	2	False	10564	7	10	The arrogant difficult weekends that successfully would maintain from star add soul , season , plot , path , narrow corner and nuclear minds of scientists and surgeons -- faithful as the Starbucks crate . <eos>
L__NOUN_VERB_VERB	8	6	sing	responds	correct	generated	Actually enjoy your cheques to remember this especially to their vests , and frankly onboard , so that the medicine to compel her	0	True	375	4	23	Actually enjoy your cheques to remember this especially to their vests , and frankly onboard , so that the medicine to compel her supports indoors . <eos>
L__NOUN_VERB_VERB	8	6	sing	respond	wrong	generated	Actually enjoy your cheques to remember this especially to their vests , and frankly onboard , so that the medicine to compel her	0	True	1271	4	23	Actually enjoy your cheques to remember this especially to their vests , and frankly onboard , so that the medicine to compel her supports indoors . <eos>
R__VERB_NOUN_CCONJ_VERB	4	9	plur	melt	correct	generated	GO me dine if you listen any trios or	0	False	309	4	9	GO me dine if you listen any trios or refuse anything electronic . <eos>
R__VERB_NOUN_CCONJ_VERB	4	9	plur	melts	wrong	generated	GO me dine if you listen any trios or	0	False	110	4	9	GO me dine if you listen any trios or refuse anything electronic . <eos>
R__VERB_NOUN_CCONJ_VERB	12	1	sing	makes	correct	generated	Put for a button of centuries in their reviewer that pays from the defence and	0	False	7718	5	15	Put for a button of centuries in their reviewer that pays from the defence and wakes historically to the bluff fo the reaction . <eos>
R__VERB_NOUN_CCONJ_VERB	12	1	sing	make	wrong	generated	Put for a button of centuries in their reviewer that pays from the defence and	0	False	24608	5	15	Put for a button of centuries in their reviewer that pays from the defence and wakes historically to the bluff fo the reaction . <eos>
L__NOUN_VERB_VERB	8	7	sing	hears	correct	generated	Even adjust your prices to begin this indeed to their dividends , and carefully aggressively , so that the route to dine her	0	True	400	4	23	Even adjust your prices to begin this indeed to their dividends , and carefully aggressively , so that the route to dine her sends incorrectly . <eos>
L__NOUN_VERB_VERB	8	7	sing	hear	wrong	generated	Even adjust your prices to begin this indeed to their dividends , and carefully aggressively , so that the route to dine her	0	True	1692	4	23	Even adjust your prices to begin this indeed to their dividends , and carefully aggressively , so that the route to dine her sends incorrectly . <eos>
L__NOUN_VERB_VERB	20	5	sing	observes	correct	generated	The aware coast I requested onboard from them in the first center	0	False	323	10	12	The aware coast I requested onboard from them in the first center enjoys because my glad midst who enjoyed with them was seeking out on his unfortunate . <eos>
L__NOUN_VERB_VERB	20	5	sing	observe	wrong	generated	The aware coast I requested onboard from them in the first center	0	False	946	10	12	The aware coast I requested onboard from them in the first center enjoys because my glad midst who enjoyed with them was seeking out on his unfortunate . <eos>
R__VERB_NOUN_CCONJ_VERB	4	5	plur	require	correct	generated	Learn me miss if you carry any whereabouts or	0	False	4657	4	9	Learn me miss if you carry any whereabouts or refuse anything unbelievable . <eos>
R__VERB_NOUN_CCONJ_VERB	4	5	plur	requires	wrong	generated	Learn me miss if you carry any whereabouts or	0	False	3879	4	9	Learn me miss if you carry any whereabouts or refuse anything unbelievable . <eos>
L__NOUN_VERB_VERB	12	7	plur	appear	correct	generated	Antique spurs that greatly would testify	1	False	7652	5	6	Antique spurs that greatly would testify agree contents , chairman , Portugal profile and some liberties of cartoons . <eos>
L__NOUN_VERB_VERB	12	7	plur	appears	wrong	generated	Antique spurs that greatly would testify	1	False	7012	5	6	Antique spurs that greatly would testify agree contents , chairman , Portugal profile and some liberties of cartoons . <eos>
L__NOUN_VERB_VERB	3	1	sing	begs	correct	generated	I seem the manner you called to me	0	False	209	5	8	I seem the manner you called to me seems to the Croatia Grill at Amsterdam ( said in Teresa ) . <eos>
L__NOUN_VERB_VERB	3	1	sing	beg	wrong	generated	I seem the manner you called to me	0	False	108	5	8	I seem the manner you called to me seems to the Croatia Grill at Amsterdam ( said in Teresa ) . <eos>
L__NOUN_VERB_VERB	9	1	plur	want	correct	generated	But inner declarations do customize the leaf they seem he will harass , and the immigrants who lose him	1	True	4591	4	19	But inner declarations do customize the leaf they seem he will harass , and the immigrants who lose him collaborate to eat the injuries who enjoy him . <eos>
L__NOUN_VERB_VERB	9	1	plur	wants	wrong	generated	But inner declarations do customize the leaf they seem he will harass , and the immigrants who lose him	1	True	1899	4	19	But inner declarations do customize the leaf they seem he will harass , and the immigrants who lose him collaborate to eat the injuries who enjoy him . <eos>
R__VERB_NOUN_CCONJ_VERB	10	0	plur	put	correct	original	You add the water and	0	False	11670	4	5	You add the water and put water conditioner into the water . <eos>
R__VERB_NOUN_CCONJ_VERB	10	0	plur	puts	wrong	original	You add the water and	0	False	951	4	5	You add the water and put water conditioner into the water . <eos>
L__NOUN_VERB_VERB	17	7	sing	operates	correct	generated	The historical voting movements wash there	1	False	3023	4	6	The historical voting movements wash there applies breathe to the passport . <eos>
L__NOUN_VERB_VERB	17	7	sing	operate	wrong	generated	The historical voting movements wash there	1	False	3809	4	6	The historical voting movements wash there applies breathe to the passport . <eos>
R__VERB_NOUN_CCONJ_VERB	11	5	sing	requires	correct	generated	This wire of capability reflects around the commodity s trend and bombers and	0	False	3879	9	13	This wire of capability reflects around the commodity s trend and bombers and begins a memo for the sect eventually on the receiver of the diversion in payment of photo duties . <eos>
R__VERB_NOUN_CCONJ_VERB	11	5	sing	require	wrong	generated	This wire of capability reflects around the commodity s trend and bombers and	0	False	4657	9	13	This wire of capability reflects around the commodity s trend and bombers and begins a memo for the sect eventually on the receiver of the diversion in payment of photo duties . <eos>
L__NOUN_VERB_VERB	12	0	plur	include	correct	original	Important species that probably would decline	1	False	24625	5	6	Important species that probably would decline include shrimp , capelin , Greenland halibut and some varieties of flatfish . <eos>
L__NOUN_VERB_VERB	12	0	plur	includes	wrong	original	Important species that probably would decline	1	False	10564	5	6	Important species that probably would decline include shrimp , capelin , Greenland halibut and some varieties of flatfish . <eos>
R__VERB_NOUN_CCONJ_VERB	15	8	sing	deserves	correct	generated	If you propose a country who will propose to you and see he will absorb and then convince his meditation , and not tell what he is sending about why he supports conclusions at extensive sandwiches and	0	True	198	6	37	If you propose a country who will propose to you and see he will absorb and then convince his meditation , and not tell what he is sending about why he supports conclusions at extensive sandwiches and becomes they arrive what you pick , why they will not hire for you , transmit to this rivalry ... he is the affection for you . <eos>
R__VERB_NOUN_CCONJ_VERB	15	8	sing	deserve	wrong	generated	If you propose a country who will propose to you and see he will absorb and then convince his meditation , and not tell what he is sending about why he supports conclusions at extensive sandwiches and	0	True	208	6	37	If you propose a country who will propose to you and see he will absorb and then convince his meditation , and not tell what he is sending about why he supports conclusions at extensive sandwiches and becomes they arrive what you pick , why they will not hire for you , transmit to this rivalry ... he is the affection for you . <eos>
L__NOUN_VERB_VERB	22	5	sing	understands	correct	generated	The first manager you die whenever you indicate on recovery	0	False	228	8	10	The first manager you die whenever you indicate on recovery explains that the cork disintegration never drops out the curse and tells into the gem failure . <eos>
L__NOUN_VERB_VERB	22	5	sing	understand	wrong	generated	The first manager you die whenever you indicate on recovery	0	False	2723	8	10	The first manager you die whenever you indicate on recovery explains that the cork disintegration never drops out the curse and tells into the gem failure . <eos>
R__VERB_NOUN_CCONJ_VERB	3	9	plur	create	correct	generated	Please specify me receive if you collaborate any lights or	0	False	8745	4	10	Please specify me receive if you collaborate any lights or recognize anything indefinite . <eos>
R__VERB_NOUN_CCONJ_VERB	3	9	plur	creates	wrong	generated	Please specify me receive if you collaborate any lights or	0	False	1563	4	10	Please specify me receive if you collaborate any lights or recognize anything indefinite . <eos>
R__VERB_NOUN_CCONJ_VERB	11	9	sing	grows	correct	generated	This dove of vision submits around the pyramid s creation and drinks and	0	False	1046	9	13	This dove of vision submits around the pyramid s creation and drinks and becomes a monkey for the flood eventually on the network of the mayor in preacher of role daughters . <eos>
R__VERB_NOUN_CCONJ_VERB	11	9	sing	grow	wrong	generated	This dove of vision submits around the pyramid s creation and drinks and	0	False	3244	9	13	This dove of vision submits around the pyramid s creation and drinks and becomes a monkey for the flood eventually on the network of the mayor in preacher of role daughters . <eos>
L__NOUN_VERB_VERB	13	3	sing	indicates	correct	generated	"Because of the virus that his solar photography with Delivery Oglethorpe had happened him , he missed producers yellow as : "" You can communicate a spore and a bravery , eight menu you ca n't prepare"	0	True	1984	5	37	"Because of the virus that his solar photography with Delivery Oglethorpe had happened him , he missed producers yellow as : "" You can communicate a spore and a bravery , eight menu you ca n't prepare intends why you 're limp unfortunately "" and stayed currents to the "" Taiwan Canal "" jail containing that "" repeatedly he phoned Perfect foreigners to collect warmly militant as a philosophy "" . <eos>"
L__NOUN_VERB_VERB	13	3	sing	indicate	wrong	generated	"Because of the virus that his solar photography with Delivery Oglethorpe had happened him , he missed producers yellow as : "" You can communicate a spore and a bravery , eight menu you ca n't prepare"	0	True	2836	5	37	"Because of the virus that his solar photography with Delivery Oglethorpe had happened him , he missed producers yellow as : "" You can communicate a spore and a bravery , eight menu you ca n't prepare intends why you 're limp unfortunately "" and stayed currents to the "" Taiwan Canal "" jail containing that "" repeatedly he phoned Perfect foreigners to collect warmly militant as a philosophy "" . <eos>"
R__VERB_NOUN_CCONJ_VERB	5	6	plur	develop	correct	generated	Learn me promote if you continue any cabins or	0	False	5495	4	9	Learn me promote if you continue any cabins or prefer anything asymmetrical . <eos>
R__VERB_NOUN_CCONJ_VERB	5	6	plur	develops	wrong	generated	Learn me promote if you continue any cabins or	0	False	851	4	9	Learn me promote if you continue any cabins or prefer anything asymmetrical . <eos>
L__NOUN_VERB_VERB	10	9	sing	includes	correct	generated	The hysterical democracy I started this counsel	0	False	10564	5	7	The hysterical democracy I started this counsel adds to identify anyone seeking this if they provide of some preparation I can prove strengthen a recovery to this Brass Period . <eos>
L__NOUN_VERB_VERB	10	9	sing	include	wrong	generated	The hysterical democracy I started this counsel	0	False	24625	5	7	The hysterical democracy I started this counsel adds to identify anyone seeking this if they provide of some preparation I can prove strengthen a recovery to this Brass Period . <eos>
R__VERB_NOUN_CCONJ_VERB	3	7	plur	decide	correct	generated	Please groom me translate if you prefer any forums or	0	False	1926	4	10	Please groom me translate if you prefer any forums or learn anything obvious . <eos>
R__VERB_NOUN_CCONJ_VERB	3	7	plur	decides	wrong	generated	Please groom me translate if you prefer any forums or	0	False	1624	4	10	Please groom me translate if you prefer any forums or learn anything obvious . <eos>
L__NOUN_VERB_VERB	15	2	sing	adds	correct	generated	The unprecedented cash to choose for global	0	False	932	5	7	The unprecedented cash to choose for global understands to defend fifty , or your moment tent car reptile , and accept . <eos>
L__NOUN_VERB_VERB	15	2	sing	add	wrong	generated	The unprecedented cash to choose for global	0	False	2283	5	7	The unprecedented cash to choose for global understands to defend fifty , or your moment tent car reptile , and accept . <eos>
L__NOUN_VERB_VERB	18	2	sing	operates	correct	generated	The absolute payable lighting I have contributed	0	False	3023	4	7	The absolute payable lighting I have contributed identifies that in the suggestion of IAEA eighteen landlord of the creativity is increasingly traced in the lieutenant the password before the telephone , this swing deleted after the diplomatic condominium . <eos>
L__NOUN_VERB_VERB	18	2	sing	operate	wrong	generated	The absolute payable lighting I have contributed	0	False	3809	4	7	The absolute payable lighting I have contributed identifies that in the suggestion of IAEA eighteen landlord of the creativity is increasingly traced in the lieutenant the password before the telephone , this swing deleted after the diplomatic condominium . <eos>
L__NOUN_VERB_VERB	9	6	plur	begin	correct	generated	But incorrect cm do come the flower they refuse he will believe , and the effects who respond him	1	True	4597	4	19	But incorrect cm do come the flower they refuse he will believe , and the effects who respond him describe to emit the opportunities who operate him . <eos>
L__NOUN_VERB_VERB	9	6	plur	begins	wrong	generated	But incorrect cm do come the flower they refuse he will believe , and the effects who respond him	1	True	4461	4	19	But incorrect cm do come the flower they refuse he will believe , and the effects who respond him describe to emit the opportunities who operate him . <eos>
L__NOUN_VERB_VERB	4	6	sing	adds	correct	generated	My threat with expecting the reaction directly	0	False	932	6	7	My threat with expecting the reaction directly enables , could it be eliminated that totally everyone led the tap would or could avoid at any period , since we highly loved Virginia and States and if they testified they might have documented a global sentence ?? <eos>
L__NOUN_VERB_VERB	4	6	sing	add	wrong	generated	My threat with expecting the reaction directly	0	False	2283	6	7	My threat with expecting the reaction directly enables , could it be eliminated that totally everyone led the tap would or could avoid at any period , since we highly loved Virginia and States and if they testified they might have documented a global sentence ?? <eos>
